Id,City,UseYear,RoadWide,RegisterReason,MaterialCode,BuildTotalLevel,BuildLevel,PurposeCode,buildRate,UsedState,JcicBuildMaterialCode,JcicBuildPurposeCode,OtherBuildPurpose,StallPrice,StallNum,StallAreaSize,TotalAreaSize,RegisterPurpose1,RegisterPurpose2,RegisterPurpose3,RegisterPurpose4,RegisterPurpose5,RegisterPurpose6,landSize,IdenPrice
96,6,52,3,02,08,3,1,10,8.000000,04,D,A,4,0.000,0,0.00,26.25,32.780000,0.650000,2.760000,0.000000,0.000000,0.000000,32.98,19687500.000
97,5,45,5,02,08,4,4,35,0.000000,01,D,A,4,0.000,0,0.00,39.36,11.900000,0.000000,0.000000,0.000000,0.000000,0.000000,12.63,10627200.000
98,5,30,4,01,04,5,2,35,8.000000,01,E,A,3,0.000,0,0.00,30.50,7.540000,0.940000,0.750000,0.000000,0.000000,0.000000,8.36,8235000.000
99,3,34,12,06,04,5,1,30,0.000000,01,E,D,3,0.000,0,0.00,46.51,35.810000,3.240000,0.000000,0.000000,0.000000,0.000000,33.88,5906770.000
100,5,12,12,02,04,13,8,35,30.000000,09,C,A,4,0.000,0,0.00,41.10,7.920000,0.810000,3.710000,0.000000,0.000000,0.000000,4.19,10275000.000
101,5,17,8,02,04,12,3,35,23.000000,09,C,A,3,900000.000,1,11.85,36.85,7.210000,1.420000,2.520000,3.580000,0.000000,0.000000,3.96,7001500.000
102,5,39,6,05,04,4,1,35,0.000000,01,E,A,3,0.000,0,0.00,38.27,11.580000,0.000000,0.000000,0.000000,0.000000,0.000000,11.95,16073400.000
103,5,23,27,02,04,12,10,33,28.000000,01,E,C,3,0.000,0,0.00,33.03,6.090000,1.070000,2.830000,0.000000,0.000000,0.000000,2.93,5780250.000
104,5,24,5,02,04,6,6,35,15.000000,01,C,A,3,1200000.000,1,10.15,31.74,7.260000,0.880000,1.460000,3.070000,0.000000,0.000000,8.53,10474200.000
105,0,37,12,02,04,5,1,30,0.000000,01,E,D,4,0.000,0,0.00,32.31,9.770000,0.000000,0.000000,0.000000,0.000000,0.000000,10.38,5169600.000
106,0,17,16,04,04,14,2,35,29.000000,01,E,A,3,0.000,0,0.00,43.29,8.100000,1.140000,3.850000,0.000000,0.000000,0.000000,7.42,6060600.000
107,6,35,6,06,04,4,2,35,0.000000,01,E,A,3,0.000,0,0.00,27.74,7.280000,1.110000,0.000000,0.000000,0.000000,0.000000,17.54,9431600.000
108,4,5,16,02,04,12,2,35,30.000000,01,E,A,3,1000000.000,1,10.93,47.92,8.680000,1.460000,4.350000,3.310000,0.000000,0.000000,8.07,9584000.000
109,4,25,12,02,04,7,7,35,17.000000,01,E,A,3,0.000,0,0.00,38.60,8.800000,0.930000,1.950000,0.000000,0.000000,0.000000,6.86,6948000.000
